Sintoma 1,Sintoma 2,Doença Associada
dor no peito,pressão no peito,Infarto
aperto no peito,aperto no tórax,Infarto
dor irradiando para braço,dor no ombro esquerdo,Infarto
dor subesternal,peso no peito,Infarto
cansaço constante,fadiga,Insuficiência Cardíaca
fraqueza geral,exaustão,Insuficiência Cardíaca
cansaço ao esforço,fadiga aos pequenos esforços,Insuficiência Cardíaca
falta de ar,dificuldade para respirar,Angina
dispneia,respiração curta,Angina
falta de ar ao deitar,acordar sem ar,Insuficiência Cardíaca
falta de ar noturna,ortopneia,Insuficiência Cardíaca
palpitações,batimentos irregulares,Arritmia
coração disparado,taquicardia súbita,Arritmia
batimentos acelerados,arritmia percebida,Arritmia
tontura frequente,desmaios,Arritmia
vertigem,instabilidade ao andar,Arritmia
inchaço nas pernas,edema nos tornozelos,Insuficiência Cardíaca
pernas pesadas,inchaço abdominal,Insuficiência Cardíaca
retenção de líquidos,aumento abdominal,Insuficiência Cardíaca
pressão alta,hipertensão,Hipertensão
cefaleia intensa,dores de cabeça fortes,Hipertensão
visão turva,zumbido nos ouvidos,Hipertensão
pele fria e suada,mal-estar súbito,Infarto
pressão no peito durante estresse,dor no peito em repouso,Angina
dor ao esforço físico,aperto no peito ao caminhar,Angina
cansaço após tarefas simples,fraqueza aos esforços,Insuficiência Cardíaca
batimento lento,bradicardia,Arritmia
palidez súbita,fraqueza súbita,Infarto
ansiedade,sensação de morte iminente,Infarto
perda de visão em um ou ambos os olhos,dificuldade na fala,Cerebrovascular
dor de cabeça súbita e intensa,formigamento ou fraqueza súbita em um lado do corpo,Cerebrovascular
confusão mental súbita,fala arrastada,Cerebrovascular
coloração roxa ou azulada na pele,respiração rápida e curta mesmo em repouso,Cardiopatia Congênita
coração acelerado,boca roxa após esforço físico,Cardiopatia Congênita
infecções respiratórias frequentes,palidez e apatia,Cardiopatia Congênita
"inchaço nas pernas, barriga ou ao redor dos olhos",baixo ganho de peso,Cardiopatia Congênita
sonolência excessiva,cansaço excessivo,Cardiopatia Congênita
febre persistente,suor em excesso,Endocardite
presença de sangue na urina,perda de peso,Endocardite
dores nas articulações e no músculo,"inchaço nos pés, pernas ou barriga",Endocardite
sopro cardíaco,dispneia,Endocardite
dor no peito ao esforço emocional,desconforto torácico sob estresse,Angina
dor que melhora com repouso,desconforto ao esforço e alívio ao descanso,Angina
tosse persistente,chiado no peito,Insuficiência Cardíaca
tosse noturna,secreção rosada,Insuficiência Cardíaca
pressão muito alta súbita,crise hipertensiva,Hipertensão
dor occipital,rigidez na nuca com pressão alta,Hipertensão
formigamento no braço direito,fraqueza súbita em um lado do corpo,Cerebrovascular
dificuldade de compreender palavras,alterações na fala,Cerebrovascular
desmaio súbito,perda breve de consciência,Arritmia
batimentos irregulares à noite,sensação de falha no coração,Arritmia
cianose nos lábios,coloração azulada nas unhas,Cardiopatia Congênita
dificuldade de ganhar peso desde o nascimento,baixo desenvolvimento físico,Cardiopatia Congênita
febre intermitente,suor noturno,Endocardite
pontos vermelhos na pele (petéquias),manchas roxas inexplicáveis,Endocardite
fadiga constante com perda de apetite,emagrecimento progressivo,Endocardite
